Month,Total,Skilled,Unskilled,Region_Auckland,Region_Wellington,Region_NorthIslandOth,Region_Canterbury,Region_SouthIslandOth,Accountin_HR_legal_admin,Construction,Education,Healthcare,Hospitality,IT,Manufacturing,Primary,Sales,Other,Occptn_Manager,Occptn_Professionals,Occptn_TechniciansTrades,Occptn_CmmmntyPrsnlSrvcs,Occptn_ClericalAdmin,Occptn_Sales,Occptn_MachineryDrivers,Occptn_Labourers,Skills_HighlySkilled,Skills_Skilled,Skills_Semi_skilled,Skills_LowSkilled,Skills_Unskilled
 Mar 2008,103.10000000000001,103.8,102.06666666666666,99.26666666666667,98.03333333333335,115.2,117.2,113.56666666666666,93.90000000000002,130.1,93.76666666666667,115.86666666666667,125.23333333333335,89.0,119.36666666666667,91.46666666666668,101.46666666666665,101.13333333333333,106.76666666666667,103.73333333333335,109.46666666666665,124.83333333333333,92.36666666666667,97.23333333333333,121.0,129.06666666666666,105.60000000000001,97.03333333333335,103.39999999999999,99.83333333333333,109.76666666666667
 Apr 2008,104.5,106.36666666666667,102.16666666666667,101.06666666666666,99.89999999999999,116.43333333333332,116.13333333333333,113.2,94.96666666666668,131.66666666666666,112.43333333333332,119.83333333333333,117.7,91.43333333333334,118.33333333333333,100.36666666666667,101.10000000000001,102.33333333333333,107.63333333333333,107.59999999999998,110.10000000000001,120.5,94.43333333333334,96.39999999999999,119.73333333333335,128.3,107.63333333333333,102.59999999999998,104.7,100.10000000000001,109.23333333333333
 May 2008,105.8,108.56666666666666,101.2,102.76666666666667,102.83333333333333,116.43333333333334,114.53333333333332,111.09999999999998,95.73333333333333,132.03333333333333,109.10000000000001,127.23333333333333,111.46666666666668,96.53333333333335,114.46666666666665,104.7,102.06666666666666,108.76666666666665,108.46666666666665,111.10000000000001,109.8,119.13333333333333,94.7,97.03333333333335,115.56666666666666,122.5,110.60000000000001,104.56666666666666,103.53333333333335,99.23333333333333,107.89999999999999
 Jun 2008,106.10000000000001,111.06666666666668,97.56666666666666,102.96666666666665,105.09999999999998,114.56666666666666,113.8,111.83333333333333,93.86666666666667,134.4333333333333,115.5,132.5,104.53333333333335,101.36666666666667,107.46666666666665,99.5,101.60000000000001,114.0,108.86666666666667,115.63333333333333,109.39999999999999,117.86666666666667,93.10000000000001,93.83333333333333,105.63333333333333,116.7666666666667,113.73333333333333,107.5,102.33333333333333,95.83333333333333,103.46666666666665
 Jul 2008,106.76666666666667,112.76666666666667,96.2,102.96666666666668,107.83333333333333,113.8,115.23333333333333,113.63333333333333,93.66666666666667,136.96666666666667,110.8,136.79999999999998,102.26666666666667,104.66666666666667,104.10000000000001,103.36666666666666,100.53333333333335,120.93333333333332,108.3,118.56666666666666,110.03333333333335,123.43333333333332,91.86666666666667,92.86666666666667,102.13333333333333,116.23333333333335,116.5,105.0,103.96666666666665,94.3,102.66666666666667
 Aug 2008,102.39999999999999,109.56666666666668,90.56666666666666,97.73333333333333,102.7,111.93333333333334,112.09999999999998,115.66666666666667,87.53333333333335,135.79999999999998,113.73333333333333,134.33333333333334,100.7,99.46666666666665,98.06666666666666,105.16666666666667,94.16666666666667,123.8,104.83333333333333,115.46666666666665,108.5,127.16666666666667,85.39999999999999,86.16666666666667,97.0,111.10000000000002,113.26666666666667,101.13333333333334,101.83333333333333,88.66666666666667,97.0
 Sep 2008,101.39999999999999,109.10000000000001,88.86666666666667,94.40000000000002,101.7,117.03333333333335,113.60000000000001,122.83333333333333,84.43333333333334,136.96666666666667,119.59999999999998,135.16666666666666,111.90000000000002,95.63333333333333,97.23333333333333,120.93333333333334,91.63333333333333,127.10000000000001,104.03333333333335,114.66666666666667,111.23333333333335,133.63333333333333,80.9,85.0,101.2,113.46666666666668,111.86666666666667,102.66666666666667,103.40000000000002,85.96666666666665,98.86666666666667
 Oct 2008,95.56666666666666,104.10000000000001,81.86666666666666,86.23333333333333,95.13333333333333,118.96666666666665,109.53333333333332,125.83333333333333,75.13333333333333,131.53333333333333,151.33333333333334,132.26666666666668,112.30000000000001,87.16666666666667,93.93333333333334,113.23333333333335,84.60000000000001,120.66666666666667,97.8,110.89999999999999,106.8,129.73333333333332,71.46666666666667,78.39999999999999,100.73333333333333,107.83333333333333,104.60000000000001,108.10000000000001,96.53333333333335,78.46666666666667,93.60000000000001
 Nov 2008,88.06666666666666,97.89999999999999,71.76666666666667,76.73333333333333,89.06666666666666,116.0,102.83333333333333,123.33333333333333,66.60000000000001,121.60000000000001,172.56666666666663,129.56666666666666,101.53333333333335,79.7,85.83333333333333,105.39999999999999,75.26666666666667,112.23333333333333,90.80000000000001,106.53333333333335,97.30000000000001,114.36666666666666,62.666666666666664,67.83333333333333,91.43333333333334,97.40000000000002,97.63333333333334,108.5,85.56666666666666,68.56666666666668,82.86666666666666
 Dec 2008,72.86666666666666,82.26666666666667,56.833333333333336,62.400000000000006,73.8,98.53333333333335,86.56666666666666,105.06666666666666,53.96666666666667,102.63333333333333,154.0,118.13333333333333,79.30000000000001,65.10000000000001,70.76666666666667,85.30000000000001,60.099999999999994,90.86666666666667,76.03333333333333,91.26666666666667,77.8,94.03333333333335,49.93333333333334,52.1,74.83333333333333,77.60000000000001,82.93333333333334,91.33333333333333,67.23333333333333,54.800000000000004,63.866666666666674
